season,meeting_key,meeting_name,meeting_date_start,session_key,session_name,driver_number,driver_name,team_name,lap_number,lap_duration,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,st_speed,is_pit_out_lap,weather_date,track_temperature,air_temperature,stint_number,compound,stint_lap_start,stint_lap_end,tyre_age_at_start,tyre_age_at_lap,avg_speed,max_speed,min_speed,speed_std,avg_rpm,max_rpm,min_rpm,rpm_std,avg_throttle,max_throttle,min_throttle,throttle_std,full_throttle_pct,brake_pct,brake_events,hard_brake_events,drs_pct,gear_changes,distance_traveled,trajectory_length,trajectory_variation,telemetry_points,trajectory_points,has_telemetry,has_trajectory
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,21,81.589,24.256,32.728,24.605,262.0,266,306.0,False,2023-06-04 13:31:27.782000+00:00,31.2,22.1,2,HARD,2,22,0,19.0,203.61217948717947,308.0,90.0,60.34882770614725,10567.708333333334,12456.0,7308.0,986.0879883153361,63.76923076923077,100.0,0.0,40.59972624542136,0.44551282051282054,0.1762820512820513,7,7,0.0,36,45919.660829767774,45919.660829767774,1.7966742716776365,312,311,True,True
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,22,85.334,24.272,32.773,28.289,263.0,271,305.0,False,2023-06-04 13:32:27.797000+00:00,31.1,22.0,2,HARD,2,22,0,20.0,194.3719512195122,307.0,77.0,64.06319816874097,10328.387195121952,12299.0,5781.0,1232.6709645267283,59.84756097560975,100.0,0.0,41.55456220913203,0.4054878048780488,0.23170731707317074,8,8,0.0,42,45784.59474643493,45784.59474643493,1.8154013918000724,328,329,True,True
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,23,100.436,43.932,32.521,23.983,254.0,267,249.0,True,2023-06-04 13:33:27.780000+00:00,30.7,22.0,3,MEDIUM,23,50,0,0.0,169.17021276595744,279.0,0.0,72.52364079679685,9861.523936170213,11848.0,3804.0,1636.838250064394,59.02127659574468,100.0,0.0,39.2127255515198,0.3271276595744681,0.19414893617021275,7,7,0.0,41,46261.24980348357,46261.24980348357,1.7672154075761544,376,394,True,True
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,24,79.705,24.06,31.854,23.791,268.0,267,299.0,False,2023-06-04 13:35:27.778000+00:00,30.9,22.0,3,MEDIUM,23,50,0,1.0,209.5258064516129,301.0,100.0,55.74183850424658,10568.516129032258,12163.0,7127.0,912.5117010639173,65.49677419354839,100.0,0.0,40.28653408154951,0.45161290322580644,0.16451612903225807,6,6,0.0,34,45696.85868558728,45696.85868558728,1.7731615719322982,310,301,True,True
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,25,80.056,23.954,31.998,24.104,260.0,261,300.0,False,2023-06-04 13:36:27.777000+00:00,31.0,22.0,3,MEDIUM,23,50,0,2.0,210.21241830065358,301.0,100.0,57.196004956996,10575.581699346405,11940.0,7128.0,958.6048625689851,62.62418300653595,100.0,0.0,41.595617111597385,0.4477124183006536,0.1830065359477124,6,6,0.0,39,45963.8976934018,45963.8976934018,1.7752198151857825,306,316,True,True
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,26,79.975,23.817,32.03,24.128,262.0,260,303.0,False,2023-06-04 13:38:27.790000+00:00,30.3,21.9,3,MEDIUM,23,50,0,3.0,207.66666666666666,304.0,96.0,57.308818288242264,10621.06862745098,12559.0,6987.0,1031.401644122901,64.56535947712419,100.0,0.0,40.20450958392414,0.4215686274509804,0.16013071895424835,6,6,0.0,38,45729.572530800215,45729.572530800215,1.778029410606142,306,300,True,True
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,27,79.88,23.877,32.0,24.003,260.0,271,,False,2023-06-04 13:39:27.789000+00:00,30.4,22.0,3,MEDIUM,23,50,0,4.0,206.26845637583892,304.0,99.0,57.50134295163362,10519.167785234898,12630.0,7031.0,1026.9676148327314,63.442953020134226,100.0,0.0,40.873332332679446,0.4395973154362416,0.17114093959731544,6,6,0.0,32,45909.95053810944,45909.95053810944,1.7937342334065292,298,301,True,True
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,28,80.091,23.906,32.08,24.105,,261,302.0,False,2023-06-04 13:40:27.788000+00:00,30.4,22.1,3,MEDIUM,23,50,0,5.0,206.94533762057878,304.0,94.0,58.92886525238921,10400.610932475884,12544.0,6891.0,1236.7255853200838,64.95176848874598,100.0,0.0,40.495098211852266,0.45980707395498394,0.18006430868167203,6,6,0.0,30,45964.87431228318,45964.87431228318,1.7970924062580316,311,307,True,True
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,29,80.076,23.92,31.923,24.233,265.0,265,,False,2023-06-04 13:42:27.817000+00:00,30.5,22.1,3,MEDIUM,23,50,0,6.0,208.7941176470588,303.0,95.0,57.64739645759469,10494.28431372549,11873.0,6777.0,1049.4260184430884,64.88235294117646,100.0,0.0,40.74822120925734,0.46078431372549017,0.17973856209150327,7,7,0.0,33,45952.93077490491,45952.93077490491,1.8178776010671889,306,301,True,True
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,30,80.125,23.864,32.012,24.249,,265,,False,2023-06-04 13:43:27.801000+00:00,30.1,22.2,3,MEDIUM,23,50,0,7.0,210.08305647840533,303.0,94.0,57.71020866950555,10439.05315614618,11915.0,6865.0,1052.190098707901,65.72425249169436,100.0,0.0,40.15146211728182,0.48172757475083056,0.16611295681063123,7,7,0.0,30,45917.60534605172,45917.60534605172,1.8048743560079246,301,314,True,True
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,31,80.117,23.917,32.057,24.143,263.0,264,,False,2023-06-04 13:44:27.800000+00:00,30.5,22.1,3,MEDIUM,23,50,0,8.0,207.95394736842104,303.0,92.0,59.092627870393514,10424.092105263158,11984.0,6724.0,1118.1237800750202,64.67434210526316,100.0,0.0,40.62985840861394,0.47039473684210525,0.18421052631578946,6,6,0.0,33,46095.177433976256,46095.177433976256,1.7934241327152527,304,309,True,True
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,32,79.942,23.818,31.93,24.194,270.0,265,301.0,False,2023-06-04 13:46:27.797000+00:00,30.5,22.1,3,MEDIUM,23,50,0,9.0,209.27090301003344,303.0,96.0,58.64949046633306,10462.311036789297,11956.0,6919.0,1096.291886274652,65.91638795986623,100.0,0.0,40.45563694797314,0.47491638795986624,0.1806020066889632,7,7,0.0,31,46000.52786335541,46000.52786335541,1.8118099080143544,299,306,True,True
2023,1211,Spanish Grand Prix,2023-06-02T11:30:00+00:00,9102,Race,4,Lando NORRIS,McLaren,33,79.803,23.742,31.967,24.094,266.0,259,302.0,False,2023-06-04 13:47:27.796000+00:00,30.6,22.1,3,MEDIUM,23,50,0,10.0,208.9553264604811,304.0,95.0,59.71940169645683,10435.333333333334,12074.0,6795.0,1138.2174987478884,66.27147766323024,100.0,0.0,40.05295263342016,0.46048109965635736,0.17525773195876287,7,7,0.0,32,45959.143103052906,45959.143103052906,1.772090736523391,291,308,True,True
